{'mean_beta': 1.0, 'mean_alpha': 1.0, 'w2': 1.0, 'w1': 0.05000000000000001, 'outer_iter': 0, 'inner_iter': 0, 'acc': [0.9966617210682492, 0.987759643916914, 0.9260633036597429, 0.8309841740850643, 0.7402324431256182, 0.6629574678536103, 0.6058358061325421, 0.559841740850643, 0.5197823936696341, 0.4862759643916914], 'clock': 16.04, 'LL': -21.6677099841211, 'mape': [0.053833003421055327, 0.081842315159959683, 0.12436331450728495, 0.17217421894494495, 0.22124648614906658, 0.27054774131512616, 0.31865902699462978, 0.36511881419236381, 0.40966892785928144, 0.45387294945011053], 'source': 'initial', 'mape_val': [0.077048409529997419, 0.11892457426127337, 0.19086098151672179, 0.27944730140374008, 0.37831894161471163], 'time': 25.57874083518982, 'acc_val': [0.9899851632047477, 0.9475766567754699, 0.7927794263105836, 0.6368694362017804, 0.5168150346191889]}
{'mean_beta': 0.61208612597753964, 'mean_alpha': 0.5388228865020479, 'w2': 1.0, 'w1': 0.05000000000000001, 'outer_iter': 0, 'inner_iter': 0, 'acc': [0.9955489614243324, 0.9867705242334323, 0.9713155291790306, 0.9493076162215628, 0.9217359050445104, 0.8873639960435212, 0.8527448071216617, 0.8233184965380811, 0.7904302670623146, 0.761003956478734], 'clock': 43.86, 'LL': -27.579261749147264, 'mape': [0.06514656421941363, 0.075914688276785963, 0.092073734695377968, 0.10893122950972192, 0.12626039732846234, 0.14249652164136328, 0.15836428642134603, 0.17329604399824014, 0.18774196536152629, 0.20134999110130275], 'source': 'update alpha beta', 'mape_val': [0.091126512227326775, 0.10221550428614454, 0.11697376269072005, 0.13292523564376785, 0.14911219958924085], 'time': 53.39730095863342, 'acc_val': [0.981948565776459, 0.9643916913946587, 0.9434965380811078, 0.9164193867457963, 0.8836547972304649]}
{'mean_beta': 0.59156941908365868, 'mean_alpha': 0.50993665331135485, 'w2': 1.0, 'w1': 0.05000000000000001, 'outer_iter': 0, 'inner_iter': 1, 'acc': [0.9954253214638972, 0.9866468842729971, 0.972057368941642, 0.9496785361028685, 0.9233432245301681, 0.8920623145400594, 0.8594213649851632, 0.8297477744807121, 0.7985905044510386, 0.7687932739861523], 'clock': 71.71, 'LL': -27.754344959413377, 'mape': [0.065807291160323036, 0.075813208900253976, 0.091530501154622371, 0.10766865588363954, 0.12454717445967395, 0.1402511506593303, 0.15557139049214189, 0.17008445664007915, 0.18416238691716197, 0.1974646047150721], 'source': 'update alpha beta', 'mape_val': [0.092283860191643766, 0.10221457361382051, 0.11539128070662834, 0.12951349055003741, 0.14370586784410871], 'time': 81.2415030002594, 'acc_val': [0.9823194856577646, 0.9650098911968348, 0.9454747774480712, 0.9202522255192879, 0.8929277942631059]}
{'mean_beta': 0.58327982922816923, 'mean_alpha': 0.49680739696493004, 'w2': 1.0, 'w1': 0.05000000000000001, 'outer_iter': 0, 'inner_iter': 2, 'acc': [0.9954253214638972, 0.9866468842729971, 0.9727992087042532, 0.950544015825915, 0.9242087042532147, 0.8934223541048467, 0.8618941641938674, 0.83135509396637, 0.7998269040553907, 0.7720079129574678], 'clock': 99.46, 'LL': -27.803573806948499, 'mape': [0.065946178404488839, 0.075742505027923013, 0.091362330163902314, 0.10737275464903205, 0.12415440979137385, 0.13980419421098586, 0.1550153812639388, 0.16945663229899199, 0.18343532652260455, 0.1966715288528415], 'source': 'update alpha beta', 'mape_val': [0.092598459816481821, 0.10211674968002674, 0.11485792723454008, 0.12867518186456423, 0.14250260637636156], 'time': 108.9965147972107, 'acc_val': [0.9821958456973294, 0.9656280909990109, 0.947082096933729, 0.9219831849653808, 0.8942878338278932]}
{'mean_beta': 0.57751688893173969, 'mean_alpha': 0.48773251922160943, 'w2': 1.0, 'w1': 0.05000000000000001, 'outer_iter': 0, 'inner_iter': 3, 'acc': [0.9953016815034619, 0.9866468842729971, 0.9727992087042532, 0.9509149357072205, 0.9242087042532147, 0.8939169139465876, 0.8621414441147379, 0.8317260138476755, 0.8003214638971315, 0.772131552917903], 'clock': 127.30999999999999, 'LL': -27.82813518304588, 'mape': [0.065948228972816547, 0.075702380771753147, 0.091325714552381365, 0.10730866249406612, 0.12408808771513781, 0.13972785980019392, 0.15495836152929834, 0.1694307882114732, 0.18341281041330351, 0.19662660546134988], 'source': 'update alpha beta', 'mape_val': [0.092657690407887433, 0.10202922432656943, 0.11468462750588222, 0.12847468486385741, 0.14225797440986446], 'time': 136.85389494895935, 'acc_val': [0.9821958456973294, 0.9657517309594461, 0.9472057368941642, 0.9228486646884273, 0.8949060336300693]}
{'mean_beta': 0.57363517265424913, 'mean_alpha': 0.48044459103160631, 'w2': 1.0, 'w1': 0.05000000000000001, 'outer_iter': 0, 'inner_iter': 4, 'acc': [0.9951780415430267, 0.9866468842729971, 0.9727992087042532, 0.9510385756676558, 0.9242087042532147, 0.8928041543026706, 0.8609050445103857, 0.8309841740850643, 0.7999505440158259, 0.7710187932739861], 'clock': 155.10000000000002, 'LL': -27.843978917368855, 'mape': [0.065908077450470726, 0.075675800147342265, 0.09132771076533798, 0.10733843755651795, 0.12416293781957273, 0.13981724278368277, 0.15509878139156472, 0.16960051518576671, 0.18360418939962847, 0.19685792551681874], 'source': 'update alpha beta', 'mape_val': [0.092629444857484963, 0.10195935468176973, 0.11461417082775331, 0.12841901235046707, 0.14221496787633628], 'time': 164.6402018070221, 'acc_val': [0.9821958456973294, 0.9661226508407518, 0.9474530168150346, 0.9228486646884273, 0.8949060336300693]}
{'mean_beta': 0.57363517265424913, 'mean_alpha': 0.48044459103160631, 'w2': 1.0024750472079851, 'w1': 0.04949420016185594, 'outer_iter': 0, 'inner_iter': 0, 'acc': [0.9951780415430267, 0.9868941641938674, 0.9740356083086054, 0.9554896142433235, 0.9321216617210683, 0.9094955489614244, 0.8824183976261127, 0.8549703264094956, 0.8270276953511375, 0.8034124629080118], 'clock': 201.60000000000002, 'LL': -27.98919814603838, 'mape': [0.066114554807902598, 0.07428610238823119, 0.088333738379541574, 0.10277572724731564, 0.11775106354129868, 0.13211010762857192, 0.14594817088356662, 0.15898997072357596, 0.17192221597762444, 0.18385194784195061], 'source': 'update w1 w2', 'mape_val': [0.092708566908057274, 0.099441696172955493, 0.10915329893424724, 0.1193822733618333, 0.12979304752950549], 'time': 211.14278483390808, 'acc_val': [0.9829376854599406, 0.9687190900098912, 0.9532640949554896, 0.935459940652819, 0.9158011869436202]}
{'mean_beta': 0.57652045292349119, 'mean_alpha': 0.47094726611411081, 'w2': 1.0024750472079851, 'w1': 0.04949420016185594, 'outer_iter': 1, 'inner_iter': 0, 'acc': [0.9951780415430267, 0.9867705242334323, 0.9739119683481702, 0.9547477744807121, 0.9311325420375866, 0.9082591493570722, 0.8796983184965381, 0.8518793273986153, 0.8238130563798219, 0.800568743818002], 'clock': 229.55, 'LL': -28.010241117828592, 'mape': [0.066112893082948862, 0.074436377672277412, 0.088648991990640635, 0.10325861862601068, 0.11838991915970658, 0.13289341603824184, 0.1468741291225118, 0.1600689114026505, 0.17309031532674668, 0.18516630501009548], 'source': 'update alpha beta', 'mape_val': [0.092659943729091643, 0.099673945927160335, 0.1097294374077208, 0.1203960336744786, 0.13127674346782806], 'time': 239.08970594406128, 'acc_val': [0.9828140454995055, 0.9684718100890207, 0.951780415430267, 0.9344708209693373, 0.9135756676557863]}
{'mean_beta': 0.57997215861516938, 'mean_alpha': 0.46328565841001035, 'w2': 1.0024750472079851, 'w1': 0.04949420016185594, 'outer_iter': 1, 'inner_iter': 1, 'acc': [0.9951780415430267, 0.9867705242334323, 0.9736646884272997, 0.9545004945598418, 0.9312561819980217, 0.9080118694362018, 0.8798219584569733, 0.8502720079129574, 0.8223293768545994, 0.798837784371909], 'clock': 257.58, 'LL': -28.023296031987943, 'mape': [0.066043712968198554, 0.074437145523480824, 0.088752812504670556, 0.10347601261125439, 0.1187208515514613, 0.13331336214558326, 0.14736951948515933, 0.1606657184778448, 0.17374382989120907, 0.18590941341703682], 'source': 'update alpha beta', 'mape_val': [0.092530101347899213, 0.099672437049961718, 0.10987998306209427, 0.12075469681426923, 0.13184523711339971], 'time': 267.12019991874695, 'acc_val': [0.9828140454995055, 0.9683481701285855, 0.9520276953511375, 0.9345944609297725, 0.912215628090999]}
{'mean_beta': 0.5833595769688652, 'mean_alpha': 0.4567374695867073, 'w2': 1.0024750472079851, 'w1': 0.04949420016185594, 'outer_iter': 1, 'inner_iter': 2, 'acc': [0.9951780415430267, 0.9867705242334323, 0.9736646884272997, 0.954624134520277, 0.9311325420375866, 0.9068991097922848, 0.8787091988130564, 0.8497774480712166, 0.8217111770524234, 0.798219584569733], 'clock': 285.46999999999997, 'LL': -28.033168583443771, 'mape': [0.065971772425653066, 0.074417441636995499, 0.088797036754053024, 0.10358687893036561, 0.11891819859625589, 0.133591082778237, 0.14770829070567146, 0.16107874669046973, 0.17421816387642858, 0.18646085830028084], 'source': 'update alpha beta', 'mape_val': [0.092406594040868775, 0.099628158816254128, 0.10994786606636298, 0.1209953323719645, 0.13222410973532803], 'time': 295.00405287742615, 'acc_val': [0.9826904055390703, 0.9683481701285855, 0.9520276953511375, 0.9339762611275965, 0.9112265084075173]}
{'mean_beta': 0.58678403799854373, 'mean_alpha': 0.45111208914179735, 'w2': 1.0024750472079851, 'w1': 0.04949420016185594, 'outer_iter': 1, 'inner_iter': 3, 'acc': [0.9951780415430267, 0.9867705242334323, 0.9735410484668645, 0.9549950544015826, 0.9308852621167161, 0.9072700296735905, 0.8773491592482691, 0.8490356083086054, 0.8212166172106825, 0.7973541048466865], 'clock': 313.39, 'LL': -28.040991424667975, 'mape': [0.065906659737066345, 0.074394104408006409, 0.088825457944602226, 0.10368253933325898, 0.11907245742101263, 0.13378221560088577, 0.14796327619850494, 0.16138661470821131, 0.17455534189229346, 0.186850081924131], 'source': 'update alpha beta', 'mape_val': [0.092298429918400704, 0.099568784615231304, 0.10994134788464917, 0.12107967507483895, 0.13238889508750601], 'time': 322.93441796302795, 'acc_val': [0.9826904055390703, 0.9684718100890207, 0.9525222551928784, 0.933728981206726, 0.9112265084075173]}
